question,choice,count,percent_of_eligible_respondents
Would have taken more of,More BCS courses,5,71.42857142857143
Would have taken more of,More social science courses,3,42.857142857142854
Would have taken more of,More computer programming courses,2,28.571428571428573
Would have taken more of,"More natural science courses (physics, chemistry, engineering, etc)",1,14.285714285714286
Would have taken more of,More math/stats courses,1,14.285714285714286
Would have taken more of,More humanities courses,1,14.285714285714286
Would have taken more of,Other,1,14.285714285714286
