measure,category,count,percent
Graduation year,2026,5,71.42857142857143
Graduation year,2024,1,14.285714285714286
Graduation year,2025,1,14.285714285714286
Degree type,BS,4,57.142857142857146
Degree type,Not Sure,2,28.571428571428573
Degree type,BA,1,14.285714285714286
Double major / dual degree,No,5,71.42857142857143
Double major / dual degree,Yes,2,28.571428571428573
Minor,No,4,57.142857142857146
Minor,Yes,3,42.857142857142854
