question,choice,count,percent_of_eligible_respondents
Essential BCS track themes,Perception and Action,5,71.42857142857143
Essential BCS track themes,Language and Psycholinguistics,4,57.142857142857146
Essential BCS track themes,Neurobiology and Neuropsychology,4,57.142857142857146
Essential BCS track themes,Music Cognition,3,42.857142857142854
Essential BCS track themes,Computation and Artificial Intelligence,3,42.857142857142854
Essential BCS track themes,None of the above,2,28.571428571428573
